,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
111,Sri Lanka,0,0.0,0.0,0.00277,0.00548,0.0545,0.162,0.296,0.348,0.647,0.794,1.05,1.46,1.45,1.79,2.54,3.88,,,,,,,10.5,12.1,15.1,21.3,26.0,29.0,35.0
112,Lesotho,0,0.0,0.0,0.0,0,0.00285,0.00558,0.011,0.0538,0.212,0.261,1.08,1.53,2.18,2.58,2.98,3.45,3.58,3.72,3.86,7.0,10.0,15.0,22.0,25.0,32.5,39.0,40.8,42.3,43.0
113,Lithuania,0,0.0,0.0,0.0,0,0.277,0.978,1.97,2.92,6.43,7.18,17.7,25.9,31.2,36.2,43.9,49.9,55.2,59.8,62.1,63.6,67.2,68.5,72.1,71.4,74.4,77.6,79.7,81.6,83.1
114,Luxembourg,0,0.153,0.302,0.496,1.59,5.55,7.14,11.7,17.4,22.9,36.2,39.8,54.5,65.9,70.0,72.5,78.9,82.2,87.3,90.6,90.0,91.9,93.8,94.7,96.4,98.1,97.4,97.1,97.1,98.8
115,Latvia,0,0.0,0.0,0.0,0,0.813,2.05,3.32,4.39,6.32,7.22,21.9,27.0,38.6,46.0,53.6,59.2,63.4,66.8,68.4,69.7,73.1,75.2,75.8,79.2,79.8,80.1,83.6,86.1,88.9
116,"Macao, China",0,0.0,0.0,0.037,0.28,0.727,2.36,7.0,9.21,13.6,22.5,25.2,25.7,31.5,34.9,46.4,47.3,49.2,54.0,55.2,60.2,61.3,65.8,69.8,77.6,81.6,83.2,83.8,86.5,88.1
117,Morocco,0,0.0,0.0,0.0,0.00371,0.00568,0.0216,0.142,0.176,0.694,1.37,2.37,3.35,11.6,15.1,19.8,21.5,33.1,41.3,52.0,46.1,55.4,56.0,56.8,57.1,58.3,61.8,64.8,74.4,84.1
118,Monaco,0,0.0,0.0,0.0,0,,,,,42.2,46.6,48.0,49.5,52.5,55.5,61.5,64.4,67.3,70.1,75.0,80.3,87.0,90.7,92.4,93.4,95.2,97.1,,,
119,Moldova,0,0.0,0.0,0.00083,0.00346,0.00464,0.0281,0.261,0.601,1.28,1.49,3.79,7.41,10.6,14.6,19.6,20.4,23.4,27.5,32.3,38.0,43.4,60.0,67.0,69.0,71.0,76.1,,,
120,Madagascar,0,0.0,0.0,0.0,0,0.0037,0.0143,0.0626,0.169,0.196,0.223,0.34,0.423,0.525,0.568,0.608,0.65,1.65,1.63,1.7,1.9,2.3,3.0,3.7,4.17,4.71,9.8,15.0,,
121,Maldives,0,0.0,0.0,0.0,0,0.227,0.309,0.57,1.12,2.2,3.62,5.35,5.98,6.59,6.87,11.0,16.3,23.2,24.8,26.5,34.0,38.9,44.1,49.3,54.5,59.1,61.3,62.1,62.5,62.9
122,Mexico,0.00588,0.0173,0.0283,0.0433,0.103,0.2,0.627,1.27,1.86,5.08,7.04,11.9,12.9,14.1,17.2,19.5,20.8,21.7,26.3,31.1,37.2,39.8,43.5,44.4,57.4,59.5,63.9,65.8,70.1,72.0
123,Marshall Islands,0,0.0,0.0,0.0,0,0.0371,,,0.966,1.53,1.71,2.34,2.57,3.6,3.88,3.8,3.95,4.6,5.6,7.0,10.0,12.5,14.0,16.8,19.3,29.8,38.7,,,
124,North Macedonia,0,0.0,0.0,0.0,0.0407,0.076,0.504,1.0,1.5,2.49,3.47,17.3,19.1,24.4,26.4,28.6,36.3,46.0,51.8,51.9,56.7,57.4,65.2,68.1,70.4,72.2,74.5,79.2,81.4,81.4
125,Mali,0,0.0,0.0,0.0,0,0.00206,0.0101,0.0198,0.0609,0.143,0.186,0.227,0.31,0.433,0.507,0.73,0.81,1.57,1.8,2.0,2.2,2.8,3.5,7.0,10.3,14.0,18.9,21.4,24.2,27.4
126,Malta,0,0.0,0.0,0.0,0.225,1.05,3.92,6.5,7.76,13.1,17.9,28.9,31.6,34.6,41.2,40.4,46.9,50.1,58.9,63.0,68.0,68.2,68.9,73.2,76.0,78.1,81.0,81.7,85.8,86.9
127,Myanmar,0,0.0,0.0,0.0,0,,,,0.00015,,0.00029,0.00043,0.0241,0.0243,0.0652,0.182,0.217,0.22,0.22,0.25,0.98,1.4,1.8,7.4,10.9,16.0,23.6,28.7,34.9,35.1
128,Montenegro,,,,,,,,,,,,,,25.4,27.1,28.9,30.8,32.9,35.1,37.5,35.6,56.8,60.3,61.0,68.1,69.9,71.3,71.5,73.5,77.6
129,Mongolia,0,0.0,0.0,0.0,0.00881,0.0182,0.113,0.146,0.508,1.26,1.65,2.04,,,,,9.0,9.8,10.0,10.2,12.5,16.4,17.7,19.9,22.5,22.3,23.7,47.1,51.1,62.5
130,Northern Mariana Islands,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
131,Mozambique,0,0.0,0.0,0.0,0,0.00304,0.0118,0.0202,0.0563,0.11,0.16,0.26,0.42,0.679,0.854,0.843,0.91,1.56,2.68,4.17,4.6,5.0,5.5,6.0,6.5,7.0,7.8,10.9,15.1,16.5
132,Mauritania,0,0.0,0.0,0.0,0,,0.00417,0.0406,0.118,0.192,0.261,0.363,0.424,0.481,0.67,0.98,1.43,1.87,2.28,4.0,4.5,5.0,6.2,11.8,17.6,24.1,24.2,35.1,36.7,40.8
133,Mauritius,0,0.0,0.0,0.0,0,0.184,0.476,2.57,4.65,7.28,8.78,10.3,12.2,13.7,15.2,16.7,20.2,21.8,22.5,28.3,35.0,35.4,40.1,44.8,50.1,52.2,55.4,58.6,61.7,64.9
134,Malawi,0,0.0,0.0,0.0,0,,0.00467,0.0181,0.0873,0.127,0.164,0.215,0.279,0.348,0.384,0.425,0.966,0.7,1.07,2.26,3.33,4.35,5.05,5.83,6.0,6.3,7.0,8.0,9.9,
135,Malaysia,0,0.00105,0.0255,0.0996,0.146,0.852,2.31,6.75,12.3,21.4,26.7,32.3,35.0,42.3,48.6,51.6,55.7,55.8,55.9,56.3,61.0,65.8,57.1,63.7,71.1,78.8,80.1,81.2,84.2,89.6
136,Namibia,0,0.0,0.0,0.0,0.00617,0.00903,0.0587,0.287,0.336,1.64,2.42,2.63,3.36,3.8,4.01,4.4,4.84,5.33,6.5,11.6,12.0,12.9,13.9,14.8,25.7,31.0,36.8,40.0,40.5,41.0
137,New Caledonia,0,0.0,0.0,0.0,0.00518,0.253,0.989,1.94,5.69,13.9,18.2,22.4,26.4,30.3,32.4,33.5,35.0,34.5,34.0,42.0,50.0,58.0,66.0,70.0,74.0,,82.0,,,
138,Niger,0,0.0,0.0,0.0,0,0.00104,0.00201,0.00291,0.0281,0.0363,0.105,0.127,0.156,0.19,0.221,0.294,0.39,0.7,0.76,0.83,0.9,1.05,1.15,1.25,2.48,4.32,10.2,,,
139,Nigeria,0,0.0,0.0,0.0,0,0.00883,0.0172,0.0252,0.041,0.0641,0.0899,0.32,0.559,1.29,3.55,5.55,6.77,8.0,9.3,11.5,13.8,16.1,19.1,21.0,24.5,25.7,28.0,31.9,33.6,35.5
140,Nicaragua,0,0.0,0.0,0.0132,0.0301,0.0841,0.206,0.304,0.498,0.98,1.45,1.71,1.88,2.32,2.57,2.81,3.9,5.3,7.3,10.0,10.6,13.5,15.5,17.6,19.7,24.6,30.4,37.6,37.8,45.2
141,Netherlands,0.531,1.32,1.97,3.26,6.47,9.65,14.1,22.2,39.2,44.0,49.4,61.3,64.3,68.5,81.0,83.7,85.8,87.4,89.6,90.7,91.4,92.9,94.0,91.7,91.7,90.4,93.2,91.9,93.3,91.3
142,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,61.9,68.1,,,
143,Norway,1.41,2.22,2.78,4.15,6.42,18.3,20.4,22.6,40.0,52.0,64.0,72.8,78.1,77.7,82.0,82.5,86.9,90.6,92.1,93.4,93.5,94.6,95.1,96.3,96.8,97.3,96.4,96.5,98.0,97.0
144,Nepal,0,0.0,0.0,0.0,0.00092,0.00451,0.022,0.0644,0.147,0.205,0.24,0.313,0.383,0.45,0.827,1.14,1.41,1.73,1.97,7.93,9.0,11.1,13.3,15.4,17.6,20.7,24.3,28.6,32.8,37.7
145,Nauru,0,0.0,0.0,0.0,0,,,,,,2.99,,,,,,,,,,54.0,,,,,,62.4,,,
146,New Zealand,0,0.286,0.631,3.17,4.88,8.04,14.6,31.6,41.5,47.4,53.2,59.1,61.0,61.8,62.7,69.0,69.8,72.0,79.7,80.5,81.2,81.6,82.8,84.0,85.2,86.5,87.7,89.0,90.2,91.5
147,Oman,0,0.0,0.0,0.0,0,0.0,0.44,0.863,2.52,3.52,5.89,6.87,7.26,6.76,6.68,8.3,16.7,20.0,26.8,35.8,48.0,60.0,66.5,70.2,73.5,76.8,80.2,85.5,90.3,95.2
148,Pakistan,0,0.0,0.0,0.0,0.00012,0.00299,0.0276,0.044,0.0554,,1.32,2.58,5.04,6.16,6.33,6.5,6.8,7.0,7.5,8.0,8.0,8.1,9.0,10.0,11.0,12.4,13.8,15.3,17.1,25.0
149,Panama,0,0.0,0.0,0.00764,0.0561,0.22,0.539,2.75,3.84,6.55,7.27,8.52,9.99,11.1,11.5,17.3,22.3,33.8,39.1,40.1,42.7,40.3,44.0,44.9,51.2,54.0,60.0,61.8,63.6,64.3
150,Peru,0,0.0,0.0,0.0085,0.0334,0.246,0.403,1.19,1.95,3.08,7.58,8.97,11.6,14.1,17.1,20.7,25.2,30.6,31.4,34.8,36.0,38.2,39.2,40.2,40.9,45.5,50.5,55.1,60.0,65.3
151,Philippines,0,0.0,0.0,0.00584,0.0286,0.0559,0.137,1.1,1.43,1.98,2.52,4.33,4.86,5.24,5.4,5.74,5.97,6.22,9.0,25.0,29.0,30.8,32.7,34.7,36.9,39.2,41.6,44.1,43.0,49.8
152,Palau,0,0.0,0.0,0.0,0,,,,,,,20.2,21.6,27.0,,,,,,,,,,,,,,,,
153,Papua New Guinea,0,0.0,0.0,0.0,0,0.00207,0.101,0.235,0.667,0.835,0.904,1.32,1.37,1.51,1.72,1.75,1.79,1.15,1.61,1.28,2.0,3.5,5.1,6.5,7.9,9.6,11.2,,,
154,Poland,0.00523,0.0521,0.13,0.389,0.648,1.3,2.07,4.1,5.46,7.29,9.9,21.1,24.9,32.5,38.8,44.6,48.6,53.1,59.0,62.3,62.0,62.3,62.8,66.6,68.0,73.3,76.0,77.5,80.4,83.2
155,Puerto Rico,0,0.0,0.0,0.0272,0.135,0.268,1.33,2.65,5.27,10.5,15.6,17.5,19.7,22.1,23.4,25.4,27.9,38.0,41.5,45.3,48.0,69.0,69.0,69.0,63.5,68.6,68.7,70.9,77.7,
156,North Korea,0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
157,Portugal,0.1,0.25,0.45,0.719,1.49,2.98,4.95,9.87,14.7,16.4,18.1,19.4,29.7,31.8,35.0,38.0,42.1,44.1,48.3,53.3,55.3,60.3,62.1,64.6,68.6,70.4,73.8,74.7,75.3,78.3
158,Paraguay,0,0.0,0.0,0.0,0,0.0204,0.0996,0.195,0.382,0.748,1.1,1.79,2.11,3.45,7.91,7.96,11.2,14.3,18.9,19.8,24.8,29.3,36.9,43.0,49.7,53.4,61.1,65.0,68.5,74.0
159,Palestine,0,0.0,0.0,0.0,0,,,,,1.11,1.84,3.1,4.13,4.4,16.0,18.4,21.2,24.4,32.2,37.4,41.1,43.4,46.6,53.7,56.7,59.9,63.3,64.4,70.6,74.6
160,French Polynesia,0,0.0,0.0,0.0,0,0.091,0.214,1.32,3.45,6.36,6.25,8.2,14.1,17.9,21.5,25.1,28.6,33.9,44.6,49.0,49.0,52.9,56.8,60.7,64.6,68.4,72.7,,,
161,Qatar,0,0.0,0.0,0.0,0.19,0.93,3.08,3.52,4.07,4.86,6.17,10.2,19.2,20.7,24.7,29.0,37.0,44.3,53.1,69.0,69.0,69.3,85.3,91.5,92.9,95.1,97.4,99.7,99.7,99.7
162,Romania,0,0.0,0.0037,0.0263,0.075,0.222,0.445,2.24,2.7,3.61,4.54,6.58,8.9,15.0,21.5,24.7,28.3,32.4,36.6,39.9,40.0,45.9,49.8,54.1,55.8,59.5,63.7,70.7,73.7,78.5
163,Russia,0,0.00067,0.0135,0.0538,0.148,0.27,0.473,0.813,1.02,1.98,2.94,4.13,8.3,12.9,15.2,18.0,24.7,32.0,42.5,49.0,58.0,66.0,68.0,70.5,70.1,73.1,76.0,80.9,82.6,85.0
164,Rwanda,0,0.0,0.0,0.0,0,0.00088,0.00163,0.0118,0.0672,0.0628,0.241,0.293,0.357,0.431,0.556,,2.12,4.5,7.7,8.0,7.0,8.02,9.0,10.6,18.0,20.0,21.8,25.0,26.0,26.5
165,Saudi Arabia,0,0.0,0.0,0.0,0.011,0.0267,0.0521,0.101,0.494,2.21,4.68,6.38,8.0,10.2,12.7,19.5,30.0,36.0,38.0,41.0,47.5,54.0,60.5,64.7,69.6,74.9,94.2,93.3,95.7,97.9
166,Sudan,0,0.0,0.0,0.0,0,0.0,0.00123,0.00481,0.00879,0.0258,0.14,0.439,0.538,0.792,1.29,,8.66,,,,,,,,,14.1,18.6,24.6,25.9,28.4
167,Senegal,0,0.0,0.0,0.0,0.00069,0.0112,0.0273,0.0799,0.311,0.404,0.984,1.01,2.1,4.39,4.79,5.61,6.89,7.12,7.5,8.0,9.8,10.8,13.1,17.7,21.7,25.7,29.6,35.3,39.5,42.6
168,Singapore,0.162,0.471,0.763,1.19,2.87,8.35,13.5,19.6,24.2,36.0,41.7,47.0,53.8,62.0,61.0,59.0,69.9,69.0,69.0,71.0,71.0,72.0,80.9,82.1,83.2,84.5,84.5,88.2,88.9,92.0
169,Solomon Islands,0,0.0,0.0,0.0,0.0249,0.269,0.392,0.508,0.495,0.481,0.469,0.502,0.556,0.65,0.844,1.65,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.9,,,
170,Sierra Leone,0,0.0,0.0,0.0,0,0.00251,0.00499,0.0148,0.0485,0.118,0.16,0.176,0.19,0.203,0.215,0.228,0.24,0.25,0.26,0.58,0.9,2.5,4.0,6.06,6.34,11.8,13.2,15.8,16.8,18.0
171,El Salvador,0,0.0,0.0,0.0,0,0.0864,0.257,0.425,0.845,1.18,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.1,12.1,15.9,18.9,20.3,23.1,24.8,26.8,29.0,33.8,43.8,50.5,54.6
172,San Marino,0,0.0,0.0,0.0,1.36,1.43,1.42,1.41,42.8,48.8,50.3,50.8,50.0,50.6,50.3,50.2,50.4,54.5,54.2,,49.6,,,,,,60.2,,,
173,Somalia,0,0.0,0.0,0.0,0,0.00151,0.00295,0.00716,0.0139,0.02,0.079,0.116,0.376,1.05,1.08,1.1,1.12,1.14,1.16,,1.25,1.38,1.5,1.63,1.76,1.88,2.0,,,
174,Serbia,,,,,,,,,,,,,,23.5,26.3,27.2,33.1,35.6,38.1,40.9,42.2,48.1,53.5,62.1,65.3,67.1,70.3,73.4,77.4,78.4
175,South Sudan,,,,,,,,,,,,,,,,,,,,,,,2.2,2.6,3.0,3.5,4.1,4.8,5.6,6.5
176,Sao Tome and Principe,0,0.0,0.0,0.0,0,,,0.296,0.363,4.64,6.31,7.58,10.2,13.3,13.8,14.2,14.6,15.5,16.4,18.8,20.2,21.6,23.0,24.4,25.8,28.0,29.9,31.9,32.0,33.0
177,Suriname,0,0.0,0.0,0.0,0.115,0.226,1.0,1.67,1.89,2.51,3.06,4.16,4.72,6.08,6.4,9.5,14.1,21.1,31.4,31.6,32.0,34.7,37.4,40.1,42.8,45.4,48.9,53.8,68.8,70.1
178,Slovak Republic,0,0.0,0.128,0.319,0.523,0.783,1.17,2.69,5.44,9.43,12.5,40.1,43.0,52.9,55.2,56.1,61.8,66.0,70.0,75.7,74.4,76.7,77.9,80.0,77.6,80.5,81.6,80.4,82.9,89.9
179,Slovenia,0,0.0,0.41,1.07,2.9,5.07,7.59,10.1,12.6,15.1,30.2,27.8,31.9,40.8,46.8,54.0,56.7,58.0,64.0,70.0,67.3,68.3,72.7,71.6,73.1,75.5,78.9,79.7,83.1,86.6
180,Sweden,1.16,1.5,1.72,3.41,5.1,9.04,23.7,33.5,41.4,45.7,51.8,70.6,79.1,83.9,84.8,87.8,82.0,90.0,91.0,90.0,92.8,93.2,94.8,92.5,90.6,89.7,93.0,89.2,94.5,94.5
181,Eswatini,0,0.0,0.0,0.0,0.00103,0.0504,0.0886,0.0961,0.471,0.926,1.28,1.82,2.44,3.23,3.7,3.7,4.1,6.85,8.94,11.0,18.1,20.8,24.7,25.0,25.6,28.6,30.3,,,
182,Seychelles,0,0.0,0.0,0.0,0,0.651,1.28,2.53,6.23,7.4,11.0,14.3,14.6,24.3,25.4,35.0,38.4,40.4,,41.0,43.2,47.1,50.4,51.3,54.3,56.5,58.8,70.1,75.0,79.0
183,Syria,0,0.0,0.0,0.0,0,0.0,0.0326,0.0637,0.124,0.182,0.354,2.09,3.4,4.32,5.65,7.83,11.5,14.0,17.3,20.7,22.5,24.3,26.2,28.1,30.0,31.9,32.7,33.8,34.6,35.8
184,Turks and Caicos Islands,0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
185,Chad,0,0.0,0.0,0.0,0,,0.00066,0.00427,0.0123,0.0357,0.0459,0.166,0.32,0.361,0.399,0.581,0.847,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8,7.4,8.0,9.8,10.4
186,Togo,0,0.0,0.0,0.0,0,0.0109,0.211,0.306,0.59,0.8,0.9,1.0,1.2,1.5,1.8,2.0,2.2,2.4,2.6,3.0,3.5,4.0,4.5,5.7,7.12,11.3,12.4,15.5,19.3,24.0
187,Thailand,50µ,0.00034,0.0136,0.0386,0.0748,0.115,0.361,1.09,2.43,3.69,5.56,7.53,9.3,10.7,15.0,17.2,20.0,18.2,20.1,22.4,23.7,26.5,28.9,34.9,39.3,47.5,52.9,56.8,66.7,77.8
188,Tajikistan,0,0.0,0.0,0.0,0,,,,0.0328,0.0486,0.0513,0.0555,0.0646,0.0775,0.299,3.77,7.2,8.78,10.1,11.6,13.0,14.5,16.0,17.5,19.0,20.5,22.0,,,
189,Turkmenistan,0,0.0,0.0,0.0,0,,,,0.045,0.133,0.175,0.302,0.425,0.754,0.997,1.32,1.41,1.75,1.95,3.0,5.0,7.2,9.6,12.2,15.0,18.0,21.3,,,
190,Timor-Leste,0,0.0,0.0,0.0,0,,,,,,,0.0,0.0,0.0,0.099,0.5,1.0,1.5,2.0,3.0,4.0,7.0,11.0,17.5,18.6,21.2,24.2,27.6,29.0,29.1
191,Tonga,0,0.0,0.0,0.0,0.123,0.164,0.511,0.765,1.02,2.43,2.83,2.91,2.99,3.95,4.91,5.85,7.18,8.11,10.0,16.0,25.0,30.0,32.8,36.0,38.7,40.0,41.2,,,
192,Trinidad and Tobago,0,0.0,0.0,0.0,0.158,0.393,1.17,2.72,5.81,7.72,15.4,22.0,26.0,27.0,29.0,30.0,32.3,34.8,44.3,48.5,55.2,57.5,59.9,62.4,65.1,67.8,70.6,,,
193,Tunisia,0,0.0,0.0,0.00738,0.0112,0.0276,0.0437,0.108,1.6,2.75,4.3,5.25,6.49,8.53,9.66,13.0,17.1,27.5,34.1,36.8,39.1,41.4,43.8,46.2,46.5,49.6,55.5,64.2,66.7,71.9
194,Turkey,0,0.0,0.00846,0.0499,0.0817,0.193,0.474,0.699,2.29,3.76,5.19,11.4,12.3,14.6,15.5,18.2,28.6,34.4,36.4,39.8,43.1,45.1,46.3,51.0,53.7,58.3,64.7,71.0,74.0,77.7
195,Tuvalu,0,0.0,0.0,0.0,0,,,,,5.24,5.7,6.3,6.9,7.6,8.3,9.1,10.0,11.2,12.8,14.6,16.5,18.7,21.2,24.1,27.3,31.0,35.2,,,
196,Tanzania,0,0.0,0.0,0.0,0,0.00162,0.0079,0.00924,0.0751,0.117,0.171,0.222,0.677,0.878,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7.0,10.0,13.5,16.0,19.0,20.0,22.0
197,Uganda,0,0.0,0.0,0.0,0.00286,0.00463,0.0103,0.0653,0.106,0.164,0.238,0.384,0.465,0.72,1.74,2.53,3.67,3.88,4.1,4.3,4.6,4.8,5.1,5.4,5.7,6.0,8.1,10.9,14.7,19.9
198,Ukraine,0,0.0,0.00078,0.0136,0.0431,0.0986,0.199,0.301,0.405,0.716,1.24,1.87,3.15,3.49,3.75,4.51,6.55,11.0,17.9,23.3,28.7,35.3,41.0,46.2,48.9,53.0,58.9,62.6,70.1,75.0
199,Uruguay,0,0.0,0.0,0.0625,0.31,1.85,3.36,6.99,9.97,10.5,11.1,11.4,15.9,17.1,20.1,29.4,34.0,39.3,41.8,46.4,51.4,54.5,57.7,61.5,64.6,66.4,70.3,80.7,83.4,86.1
200,United States,1.16,1.72,2.27,4.86,9.24,16.4,21.6,30.1,35.8,43.1,49.1,58.8,61.7,64.8,68.0,68.9,75.0,74.0,71.0,71.7,69.7,74.7,71.4,73.0,74.6,85.5,87.3,88.5,89.4,90.9
201,Uzbekistan,0,0.0,0.0,0.0,0.00153,0.00429,0.0105,0.0208,0.0307,0.484,0.598,1.08,1.91,2.59,3.34,6.39,7.49,9.08,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.8,48.7,55.2,70.4,71.1
202,St. Vincent and the Grenadines,0,0.0,0.0,0.0,0.129,0.483,0.926,1.85,2.78,3.25,5.09,5.55,6.46,7.37,9.2,12.0,16.0,21.0,31.0,33.7,36.7,40.0,43.5,47.4,49.4,51.5,53.7,56.0,,
203,Venezuela,0,0.0121,0.0416,0.0555,0.122,0.248,0.391,1.38,2.84,3.36,4.64,4.91,7.5,8.4,12.6,15.2,20.8,25.9,32.7,37.4,40.2,49.1,54.9,57.0,58.0,60.0,61.6,,,
204,British Virgin Islands,0,0.0,0.0,0.0,0,,,,,,,18.9,,,,,,,36.0,37.0,37.4,37.6,,,,77.7,77.7,,,
205,Virgin Islands (U.S.),0,0.0,0.0,0.941,2.8,4.65,6.95,9.25,11.1,13.8,18.4,27.5,27.4,27.4,27.3,27.3,27.3,27.4,27.4,31.2,35.6,40.5,45.3,50.1,54.8,59.6,64.4,,,
206,Vietnam,0,0.0,0.0,0.0,0,0.00013,0.00398,0.0131,0.129,0.254,1.27,1.85,3.78,7.64,12.7,17.3,20.8,23.9,26.6,30.6,35.1,36.8,38.5,41.0,45.0,53.0,58.1,69.8,68.7,70.3
207,Vanuatu,0,0.0,0.0,0.0,0,0.0568,0.14,0.274,0.538,2.11,2.83,3.51,3.9,4.75,5.08,5.85,6.8,7.27,7.5,8.0,9.2,10.6,11.3,18.8,22.4,24.0,25.7,,,
208,Samoa,0,0.0,0.0,0.0,0,,0.175,0.23,0.285,0.566,1.69,2.24,2.8,3.08,3.35,4.47,4.75,5.03,6.0,7.0,11.0,12.9,15.3,21.2,25.4,29.4,33.6,,,
209,Yemen,0,0.0,0.0,0.0,0,0.00062,0.015,0.0233,0.0566,0.0825,0.0908,0.519,0.605,0.881,1.05,1.25,5.01,6.89,9.96,12.3,14.9,17.4,20.0,22.6,24.1,24.6,26.7,,,
210,South Africa,0.0133,0.0389,0.114,0.247,0.677,0.842,1.63,2.91,4.12,5.35,6.35,6.71,7.01,8.43,7.49,7.61,8.07,8.43,10.0,24.0,34.0,41.0,46.5,49.0,51.9,54.0,56.2,62.4,68.2,70.0
211,Zambia,0,0.0,0.0,0.00678,0.00878,0.00907,0.00933,0.0302,0.147,0.191,0.233,0.478,0.98,1.1,1.3,1.6,1.9,2.2,2.5,3.0,3.5,4.1,4.8,6.5,8.8,10.3,12.2,14.3,16.8,19.8
212,Zimbabwe,0,0.0,0.0,0.00174,0.00768,0.0168,0.0331,0.0817,0.162,0.401,0.8,1.1,1.8,2.1,2.4,2.4,3.0,3.5,4.0,6.4,8.4,12.0,15.5,16.4,22.7,23.1,24.4,25.0,25.1,29.3
